date	Saúde:Edições	Saúde:EdiçõesHumanos	Saúde:Editores	Saúde:AtivosEditando
Jun-2015	5275	5225	386	241
May-2015	4658	4573	369	221
Apr-2015	4822	4698	398	254
Mar-2015	4812	4667	357	214
Feb-2015	3779	3285	342	206
Jan-2015	2755	2691	306	217
Dec-2014	3993	3923	306	209
Nov-2014	6431	6173	339	208
Oct-2014	7611	5038	347	202
Sep-2014	5231	4629	331	205
Aug-2014	4730	4424	343	221
Jul-2014	3309	3205	298	193
Jun-2014	5173	3579	324	199
May-2014	5027	4378	356	213
Apr-2014	4513	4312	311	208
Mar-2014	5360	5077	342	232
Feb-2014	4297	4087	326	221
Jan-2014	2690	2604	281	202
Dec-2013	4826	3249	275	201
Nov-2013	4503	3420	299	204
Oct-2013	3737	3569	317	203
Sep-2013	4252	4037	316	208
Aug-2013	4078	3770	314	220
Jul-2013	3970	3726	314	232
Jun-2013	6952	6402	325	252
May-2013	7161	6569	365	253
Apr-2013	7001	5792	335	227
Mar-2013	16278	4223	310	219
Feb-2013	5312	3504	328	229
Jan-2013	5314	3409	311	231
Dec-2012	5113	3526	296	216
Nov-2012	5903	4359	335	242
Oct-2012	5997	4068	345	240
Sep-2012	5599	3748	324	231
Aug-2012	6814	3819	323	231
Jul-2012	4839	2761	314	239
Jun-2012	7017	4948	389	271
May-2012	7768	5092	381	258
Apr-2012	6512	4391	340	242
Mar-2012	6208	4355	355	261
Feb-2012	7145	3645	333	230
Jan-2012	6151	3157	337	245
Dec-2011	4902	2989	341	239
Nov-2011	6525	4731	367	257
Oct-2011	6350	4515	357	250
Sep-2011	6769	4924	412	285
Aug-2011	6587	4570	358	265
Jul-2011	5703	3410	356	252
Jun-2011	7268	4873	381	254
May-2011	6756	4866	372	236
Apr-2011	6362	4675	364	249
Mar-2011	7015	4959	372	254
Feb-2011	5761	3971	347	234
Jan-2011	5569	3446	367	263
Dec-2010	5283	3487	348	251
Nov-2010	6833	4725	362	243
Oct-2010	6232	4200	351	246
Sep-2010	6138	4271	357	264
Aug-2010	6491	4445	370	258
Jul-2010	5249	3510	382	260
Jun-2010	7479	5271	412	281
May-2010	7726	5481	445	290
Apr-2010	8236	5887	447	308
Mar-2010	8092	5846	421	300
Feb-2010	6723	4725	399	279
Jan-2010	5684	3778	398	293
Dec-2009	6356	3732	379	258
Nov-2009	6126	4081	362	254
Oct-2009	7253	5275	469	291
Sep-2009	8737	6032	463	319
Aug-2009	7807	5611	457	307
Jul-2009	6296	4749	436	320
Jun-2009	8370	6442	439	296
May-2009	8926	6658	488	315
Apr-2009	7874	5958	443	300
Mar-2009	8555	6453	468	324
Feb-2009	6919	4789	393	277
Jan-2009	5774	3936	403	293
Dec-2008	6786	4517	363	273
Nov-2008	8509	5574	445	290
Oct-2008	8971	6392	442	295
Sep-2008	9264	6478	457	309
Aug-2008	7949	6139	447	308
Jul-2008	6588	5149	427	299
Jun-2008	9480	7702	470	330
May-2008	9013	7305	471	340
Apr-2008	9869	8504	455	303
Mar-2008	8912	7581	432	302
Feb-2008	8654	6275	431	304
Jan-2008	7570	5990	418	317
Dec-2007	5411	3782	405	293
Nov-2007	7253	5725	470	327
Oct-2007	7988	6366	477	327
Sep-2007	6790	5603	454	316
Aug-2007	6396	5500	401	297
Jul-2007	6354	4848	361	268
Jun-2007	6373	5292	386	271
May-2007	9379	6635	439	301
Apr-2007	8267	6996	431	306
Mar-2007	6755	5418	409	279
Feb-2007	4865	3667	319	238
Jan-2007	6767	5311	328	268
Dec-2006	5288	4438	331	261
Nov-2006	6930	5946	373	281
Oct-2006	6849	5286	337	245
Sep-2006	6108	5542	338	268
Aug-2006	5672	4692	299	238
Jul-2006	5125	3692	306	236
Jun-2006	5878	4749	276	217
May-2006	5754	4787	280	224
Apr-2006	4507	3237	250	198
Mar-2006	5295	4303	255	195
Feb-2006	3477	2950	240	189
Jan-2006	3720	2294	204	169
Dec-2005	2488	1845	162	135
Nov-2005	2433	1676	129	109
Oct-2005	2635	1942	134	114
Sep-2005	1399	1228	118	98
Aug-2005	2142	1336	116	93
Jul-2005	2276	1858	123	103
Jun-2005	1658	1488	102	89
May-2005	1708	1328	107	92
Apr-2005	1532	1496	89	74
Mar-2005	878	861	71	60
Feb-2005	1454	1212	77	64
Jan-2005	1012	1000	77	67
Dec-2004	1013	750	70	64
Nov-2004	1139	803	60	52
Oct-2004	775	766	42	39
Sep-2004	580	472	44	35
Aug-2004	388	388	32	31
Jul-2004	596	596	32	29
Jun-2004	519	519	31	26
May-2004	289	288	29	22
Apr-2004	225	220	23	19
Mar-2004	183	179	17	14
Feb-2004	178	177	8	8
Jan-2004	237	237	6	5
Dec-2003	24	24	2	2
Nov-2003	0	0	0	0
Oct-2003	3	3	1	1
Sep-2003	4	4	1	1
Aug-2003	25	25	1	1
Jul-2003	9	9	1	1
Jun-2003	6	6	1	1
May-2003	7	7	1	1
Apr-2003	3	3	1	1
Mar-2003	8	8	1	1
Feb-2003	6	6	1	1
Jan-2003	17	17	1	1
Dec-2002	15	15	1	1
Nov-2002	2	2	1	1
Oct-2002	2	2	1	1
Sep-2002	1	1	1	1
Aug-2002	3	3	1	1
Jul-2002	2	2	1	1
Jun-2002	3	3	1	1
May-2002	1	1	1	1
Apr-2002	0	0	0	0
Mar-2002	1	1	1	1
Feb-2002	2	2	1	1
Jan-2002	1	1	1	1
Dec-2001	0	1	0	0
Nov-2001	1	1	1	1
Oct-2001	6	6	1	1
Sep-2001	0	0	0	0
Aug-2001	0	0	0	0
Jul-2001	0	0	0	0
Jun-2001	0	0	0	0
